pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FF,8/21/2016,90.5,2.169,6.3509,Addison Russell,608365,407822,home_run,hit_into_play_score,,,,,2,Addison Russell homers (17) on a fly ball to left field.,R,R,L,COL,CHC,X,null,fly_ball,0,0,2016,1.286716667,0.5483,-0.063,3.045,null,null,null,2,7,Top,6.59,68.5,,,547172,,160821_162743,-8.859,-131.555,-2.118,18.132,23.643,-27.775,3.65,1.67,465,108.1,38.12,90.116,1834,5.585,448709,407822,547172,572019,518934,571448,518614,467827,621311,471865,54.9153,0.75,1.478,2,1,0,3,6,57,1
FF,8/20/2016,94.5,-2.6993,6.0971,Kris Bryant,592178,656546,home_run,hit_into_play_score,,,,,5,Kris Bryant homers (31) on a fly ball to center field.   Mike Montgomery scores.    Dexter Fowler scores.,R,R,R,COL,CHC,X,null,fly_ball,3,1,2016,-0.548891667,1.396833333,-0.126,2.506,null,543557,451594,0,5,Top,100.5,13.56,,,460026,,160820_192551,6.731,-137.299,-6.296,-5.856,24.856,-15.842,3.41,1.62,469,108,28.327,95.553,2317,6.444,448694,656546,460026,430605,518934,571448,542436,467827,621311,471865,54.0562,0.97,1.923,2,1,0,3,6,33,5
FF,5/31/2016,90.1,-2.0645,5.7774,Charlie Blackmon,453568,621209,home_run,hit_into_play_score,,,,,7,Charlie Blackmon homers (5) on a line drive to right center field.,R,L,R,COL,CIN,X,null,line_drive,1,0,2016,-0.466783333,1.275,-0.315,1.876,null,null,null,0,1,Bot,199.28,51.48,,,571466,,160531_184938,4.573,-131.039,-5.831,-4.271,23.497,-18.845,3.46,1.53,437,108,23.462,90.767,2114,6.258,447641,621209,571466,458015,457574,553993,446359,594807,571740,457803,54.2419,0.961,1.781,2,1,0,3,6,4,2
FF,6/2/2016,94.7,-2.0277,5.6201,Eugenio Suarez,553993,542674,home_run,hit_into_play_score,,,,,8,Eugenio Suarez homers (12) on a fly ball to left center field.,R,R,R,COL,CIN,X,null,fly_ball,2,1,2016,-0.657441667,1.342366667,-0.223,1.715,null,null,null,2,6,Top,75.13,12.72,,,572863,,160602_202658,4.942,-137.592,-6.874,-7.312,29.058,-16.752,3.59,1.64,465,107.9,29.565,93.456,2071,5.417,447671,542674,572863,448602,518934,571448,596115,467827,453568,471865,55.0837,0.962,1.911,2,1,0,3,6,52,4
FT,5/29/2016,94.8,0.5488,5.9511,Carlos Gonzalez,471865,592612,home_run,hit_into_play_score,,,,,8,Carlos Gonzalez homers (8) on a fly ball to right center field.,R,L,L,COL,SF,X,null,fly_ball,2,0,2016,0.839991667,1.2879,0.146,1.985,null,null,null,0,8,Bot,182.44,29.48,,,457763,,160529_170821,-4.025,-137.845,-7.06,13.517,28.296,-17.38,3.58,1.66,456,107.8,27.469,93.906,2222,5.502,447622,592612,457763,474832,605509,622110,543063,453923,452655,452254,54.9986,0.974,1.921,2,1,0,3,6,73,3
FF,5/31/2016,90.9,-2.1193,5.5918,Carlos Gonzalez,471865,621209,home_run,hit_into_play_score,,,,,8,Carlos Gonzalez homers (10) on a line drive to left field.,R,L,R,COL,CIN,X,null,line_drive,3,2,2016,-0.728416667,0.8536,0.014,1.811,null,null,null,2,2,Bot,44.22,59.96,,,571466,,160531_192133,5.94,-132.252,-4.732,-7.694,25.354,-23.928,3.57,1.65,384,107.8,18.73,91.085,2162,6.065,447641,621209,571466,458015,457574,553993,446359,594807,571740,457803,54.4351,0.835,1.268,2,1,0,3,6,20,7
FT,7/19/2016,92.4,-2.0065,5.8721,Evan Longoria,446334,543022,home_run,hit_into_play_score,,,,,5,Evan Longoria homers (22) on a fly ball to left field.   Brad Miller scores.,R,R,R,COL,TB,X,null,fly_ball,1,0,2016,-0.708933333,1.2148,-0.236,2.903,null,543543,null,1,3,Top,4.05,69.51,,,460026,,160719_212408,4.985,-134.489,-3.52,-7.724,25.162,-18.951,3.75,1.72,462,107.8,32.562,93.182,2299,6.27,448271,543022,460026,448602,518934,571448,596115,430605,453568,488681,54.2301,0.924,1.834,2,1,0,3,6,19,2
FF,8/20/2017,96.2,-2.1919,5.7356,Jesus Aguilar,542583,543022,home_run,hit_into_play_score,,,,,5,Jesus Aguilar homers (14) on a fly ball to left center field.   Travis Shaw scores.  ,R,R,R,COL,MIL,X,null,fly_ball,1,0,2017,-0.3113,1.2117,-0.195,2.6632,null,null,543768,2,7,Top,88.86,25.06,,,518960,,170820_214456,5.9743,-139.8548,-5.3396,-5.2484,26.7053,-15.3516,3.3779,1.4798,441,107.6,21.936,96.54,2559,6.189,491950,543022,518960,448602,518934,571448,506560,467827,453568,471865,54.311,0.944,1.687,2,1,0,3,6,58,2
FF,7/23/2017,94.8,-2.5839,5.4429,Mark Reynolds,448602,501697,home_run,hit_into_play_score,,,,,5,Mark Reynolds homers (22) on a fly ball to center field.  ,R,R,R,COL,PIT,X,null,fly_ball,3,2,2017,-0.5401,0.8778,-0.2043,2.0638,null,null,null,2,8,Bot,126.81,26.93,,,455755,,170723_222239,7.189,-137.6055,-5.004,-7.9582,24.5015,-20.6517,3.3875,1.409,482,107.6,30.091,93.395,2130,5.157,491571,501697,455755,605137,624428,543281,621559,444379,516782,591741,55.3436,0.962,1.911,2,1,0,3,6,79,6
SL,6/23/2016,88.8,-3.0244,5.6483,Socrates Brito,593647,572750,home_run,hit_into_play_score,,,,,8,Socrates Brito homers (2) on a fly ball to center field.   Zack Greinke scores.,R,L,R,COL,ARI,X,null,fly_ball,3,2,2016,-0.018666667,0.671566667,0.06,1.754,null,null,425844,0,3,Top,145.17,16.62,,,460026,,160623_192437,6.523,-129.151,-4.503,1.392,20.598,-26.409,3.69,1.74,443,107.5,25.406,88.718,2251,5.595,447951,572750,460026,448602,518934,571448,596115,430605,453568,471865,54.9055,0.976,1.894,2,1,0,3,6,19,6
FC,4/10/2016,85.6,-1.9124,5.7503,Ryan Raburn,430605,448306,home_run,hit_into_play_score,,,,,5,Ryan Raburn homers (2) on a line drive to left field.,R,R,R,COL,SD,X,null,line_drive,2,0,2016,0.542175,0.499566667,-0.201,2.468,null,null,null,2,7,Bot,28.43,53.41,,,542194,,160410_160804,1.845,-124.684,-2.439,7.759,20.383,-28.746,3.35,1.52,424,107.5,25.902,87.092,2291,6.64,446953,448306,542194,571976,605486,489267,493351,425834,445055,461314,53.8605,0.973,1.91,2,1,0,3,6,53,3
