pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
SL,8/21/2015,88.5,-2.1868,5.4175,Michael Conforto,624424,542674,home_run,hit_into_play_score,,,,,9,Michael Conforto homers (3) on a line drive to right field.,R,L,R,COL,NYM,X,null,line_drive,0,0,2015,-0.718675,0.426466667,0.348,2.041,null,null,null,1,7,Top,242.65,83.42,,,460026,,150821_210332,6.939,-128.754,-2.927,-7.148,24.859,-29.42,3.48,1.54,444,107.5,26.557,88.197,1977,6.039,415472,542674,460026,572019,518934,571448,408314,488681,453568,471865,54.4602,0.962,1.891,2,1,0,3,6,65,1
FF,7/11/2015,94.9,-2.0884,6.1882,Carlos Gonzalez,471865,605538,home_run,hit_into_play_score,,,,,4,Carlos Gonzalez homers (13) on a line drive to center field.   Charlie Blackmon scores.,R,L,R,COL,ATL,X,null,line_drive,1,0,2015,-0.543325,1.117333333,-0.818,2.722,null,null,453568,2,1,Bot,137.57,15.77,,,543432,,150711_143032,4.078,-138.037,-5.119,-5.735,30.255,-19.727,3.53,1.64,441,107.4,21.619,93.837,2210,5.819,414960,605538,543432,453400,465674,346874,592743,430404,457727,455976,54.6802,0.923,1.614,2,1,0,3,6,7,2
FF,9/25/2015,87.5,-0.2474,6.4401,Corey Dickerson,572816,502211,home_run,hit_into_play_score,,,,,9,Corey Dickerson homers (8) on a fly ball to center field.,R,L,R,COL,LAD,X,null,fly_ball,0,0,2015,-0.157833333,1.388233333,0.583,1.949,null,null,null,2,4,Bot,119.29,19.84,,,518735,,150925_193335,1.722,-127.214,-7.293,-0.333,25.181,-18.469,3.45,1.56,453,107.3,31.023,88.064,2144,6.742,415945,502211,518735,408236,435062,400284,276519,408307,592626,444843,53.7566,0.935,1.855,2,1,0,3,6,39,1
SI,9/4/2015,89.4,-2.9393,5.8295,Nolan Arenado,571448,518790,home_run,hit_into_play_score,,,,,4,Nolan Arenado homers (35) on a line drive to left field.,R,R,R,COL,SF,X,null,line_drive,0,0,2015,-1.459041667,0.8364,-0.72,2.46,null,null,null,2,1,Bot,39.2,50.36,,,457763,,150904_185834,8.09,-130,-3.51,-16.41,26.29,-24.47,3.48,1.6,410,107,22.089,89.656,2053,6.524,415663,518790,457763,474832,605509,622110,543063,543633,434636,407781,53.9755,0.923,1.614,2,1,0,3,6,7,1
FF,9/18/2015,95.5,-3.2778,5.9553,Wil Myers,571976,502522,home_run,hit_into_play_score,,,,,2,Wil Myers homers (8) on a line drive to center field.,R,R,R,COL,SD,X,null,line_drive,2,2,2015,-0.657441667,1.375333333,0.074,3.144,null,null,null,1,7,Top,143.57,24.92,,,572863,,150918_205157,9.433,-138.586,-4.822,-7.391,30.016,-16.099,3.66,1.57,431,106.9,21.638,96.674,2429,7.12,415856,502522,572863,408047,518934,571448,408314,488681,453568,471865,53.3795,0.923,1.614,2,1,0,3,6,53,6
CH,7/22/2015,89.8,-2.0214,6.0616,Carlos Gonzalez,471865,489294,home_run,hit_into_play_score,,,,,5,Carlos Gonzalez homers (14) on a line drive to right field.    Brandon Barnes scores.    DJ LeMahieu scores.,R,L,R,COL,TEX,X,null,line_drive,1,0,2015,-0.896808333,0.955366667,-0.192,2.541,488681,null,518934,2,8,Bot,222.34,68.67,,,455139,,150722_161934,5.963,-130.681,-3.522,-9.514,28.144,-23.016,3.55,1.64,418,106.9,20.745,89.062,2088,5.925,415072,489294,455139,519048,596059,134181,462101,592261,547982,425783,54.5744,0.894,1.491,2,1,0,3,6,75,2
CH,5/22/2015,83.8,-1.5706,6.3395,Brandon Belt,474832,452718,home_run,hit_into_play_score,,,,,3,Brandon Belt homers (4) on a fly ball to right center field.    Buster Posey scores.,R,L,R,COL,SF,X,null,fly_ball,2,0,2015,-1.016491667,0.9482,0.374,3.019,null,null,457763,1,6,Top,224.88,37.13,,,460026,,150522_200242,5.699,-121.793,-3.079,-9.464,26.228,-24.345,3.32,1.6,475,106.9,35.362,82.01,1846,5.373,414281,452718,460026,501647,518934,571448,453064,572019,453568,471865,55.0949,0.826,1.629,2,1,0,3,6,42,3
FT,7/26/2015,89.6,-2.0229,5.5877,Carlos Gonzalez,471865,518420,home_run,hit_into_play_score,,,,,7,Carlos Gonzalez homers (17) on a line drive to right center field.    DJ LeMahieu scores.,R,L,R,COL,CIN,X,null,line_drive,3,2,2015,-1.189058333,0.865066667,-0.406,1.903,null,518934,null,2,3,Bot,164.98,22.89,,,571466,,150726_153518,6.102,-130.283,-4.302,-13.115,26.534,-24.092,3.55,1.65,424,106.8,26.769,88.915,2397,5.934,415117,518420,571466,458015,408252,453943,553993,407781,571740,457803,54.5652,0.962,1.891,2,1,0,3,6,36,7
CH,7/26/2015,84.9,-1.998,6.2068,Ben Paulsen,572019,547179,home_run,hit_into_play_score,,,,,1,Ben Paulsen homers (6) on a line drive to right center field.,R,L,R,COL,CIN,X,null,line_drive,1,1,2015,-0.967783333,0.576966667,-0.655,3.146,null,null,null,1,3,Bot,211.17,48.32,,,571466,,150726_152020,4.944,-123.552,-1.444,-9.363,23.166,-28.009,3.65,1.69,444,106.7,26.387,84.372,1914,5.935,415117,547179,571466,458015,408252,453943,553993,407781,571740,457803,54.5641,0.964,1.876,2,1,0,3,6,29,3
FF,9/21/2015,94.4,-0.9494,6.2799,Starling Marte,516782,592351,home_run,hit_into_play_score,,,,,4,Starling Marte homers (18) on a fly ball to left field.,R,R,R,COL,PIT,X,null,fly_ball,1,0,2015,-0.491833333,1.647666667,-0.607,2.394,null,null,null,1,1,Top,31.47,51.37,,,608596,,150921_184416,1.281,-137.236,-8.037,-4.946,31.182,-12.901,3.52,1.54,443,106.4,31.172,94.812,1938,6.783,415897,592351,608596,408047,518934,571448,408314,572816,453568,471865,53.7159,0.902,1.778,2,1,0,3,6,2,2
